date,PPFD_IN_1_1_1,TS_1_1_1,TS_1_2_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,SWC_1_1_1,SR1,Rh,SR2,SR3,Ra1,Ra2,Ra3,gc
5/22/2022 11:00,614.8,21.63,22.62,21.88,22.115,23,24.6,4.73,2.31,NA,NA,2.42,NA,NA,NA
5/22/2022 12:00,606.45,21.97,22.56,22.19,22.235,22.92,24.6,4.83,2.3,NA,NA,2.53,NA,NA,NA
5/22/2022 13:00,910.5,22.33,22.54,22.535,22.39,22.855,24.55,4.71,2.4,NA,NA,2.31,NA,NA,NA
5/22/2022 14:00,1112,23.155,22.545,23.325,22.71,22.81,24.4,4.86,2.45,NA,NA,2.41,NA,NA,NA
5/22/2022 15:00,648.55,23.355,22.615,23.505,23.04,22.785,24.4,4.8,2.48,NA,NA,2.32,NA,NA,NA
5/22/2022 16:00,240.7,23.07,22.695,23.28,23.09,22.785,24.4,4.86,2.55,NA,NA,2.31,NA,NA,NA
5/22/2022 17:00,170.6,22.8,22.735,23.035,23.02,22.8,24.4,5.08,2.55,NA,NA,2.53,NA,NA,NA
5/22/2022 18:00,68.05,22.525,22.735,22.79,22.905,22.81,24.35,5.64,2.46,NA,NA,3.18,NA,NA,NA
5/22/2022 19:00,4.5245,22.215,22.71,22.49,22.745,22.81,24.4,4.92,2.45,NA,NA,2.47,NA,NA,NA
5/22/2022 20:00,0.012,21.965,22.655,22.26,22.58,22.795,24.4,5.01,2.38,NA,NA,2.63,NA,NA,NA
5/22/2022 21:00,0.02,21.78,22.595,22.065,22.425,22.77,24.4,4.91,2.31,NA,NA,2.6,NA,NA,NA
5/22/2022 22:00,0.0115,21.65,22.515,21.925,22.29,22.73,24.4,5.08,2.27,NA,NA,2.81,NA,NA,NA
5/22/2022 23:00,0.015,21.54,22.445,21.805,22.175,22.69,24.4,5.07,2.28,NA,NA,2.79,NA,NA,NA
5/23/2022,0.0165,21.34,22.38,21.6,22.055,22.645,24.4,4.67,2.12,NA,NA,2.55,NA,NA,NA
5/23/2022 1:00,0.022,21.145,22.305,21.41,21.905,22.595,24.4,4.81,2.18,NA,NA,2.63,NA,NA,NA
5/23/2022 2:00,0.0165,21.065,22.225,21.33,21.785,22.545,24.4,4.64,2.09,NA,NA,2.55,NA,NA,NA
5/23/2022 3:00,0.0205,20.955,22.15,21.21,21.685,22.485,24.4,4.65,2.12,NA,NA,2.53,NA,NA,NA
5/23/2022 4:00,0.0135,20.825,22.075,21.075,21.58,22.43,24.4,4.62,2.13,NA,NA,2.49,NA,NA,NA
5/23/2022 5:00,10.216,20.72,22,20.975,21.475,22.375,24.4,4.66,2.09,NA,NA,2.57,NA,NA,NA
5/23/2022 6:00,91.745,20.65,21.93,20.905,21.39,22.315,24.4,4.82,2.08,NA,NA,2.74,NA,NA,NA
5/23/2022 7:00,190.05,20.655,21.855,20.895,21.32,22.255,24.4,4.88,2.06,NA,NA,2.82,NA,NA,NA
5/23/2022 8:00,238.55,20.725,21.795,20.965,21.305,22.2,24.4,4.61,2.03,NA,NA,2.58,NA,NA,NA
5/23/2022 9:00,299.3,20.815,21.745,21.05,21.325,22.145,24.35,4.64,2.04,NA,NA,2.6,NA,NA,NA
5/23/2022 10:00,437.95,20.88,21.71,21.1,21.34,22.1,24.3,4.46,2.04,NA,NA,2.42,NA,NA,NA
5/23/2022 11:00,851.6,21.28,21.685,21.48,21.43,22.06,24.3,4.46,2.05,NA,NA,2.41,NA,NA,NA
5/23/2022 12:00,1527.5,21.965,21.695,22.11,21.705,22.025,24.15,4.51,2.05,NA,NA,2.46,NA,NA,NA
5/23/2022 13:00,1747,23.04,21.755,23.035,22.12,22.01,24.05,4.46,2.19,NA,NA,2.27,NA,NA,NA
5/23/2022 14:00,1598,24.62,21.885,24.605,22.905,22.015,23.85,4.29,2.37,NA,NA,1.92,NA,NA,NA
5/23/2022 15:00,1160,24.29,22.115,24.265,23.365,22.06,23.8,4.6,2.71,NA,NA,1.89,NA,NA,NA
5/23/2022 16:00,695.25,23.775,22.315,23.855,23.335,22.145,23.8,4.92,2.54,NA,NA,2.38,NA,NA,NA
5/23/2022 17:00,309.7,23.41,22.415,23.575,23.245,22.23,23.85,4.81,2.45,NA,NA,2.36,NA,NA,NA
5/23/2022 18:00,34.395,23.075,22.46,23.275,23.13,22.305,23.9,4.85,2.43,NA,NA,2.42,NA,NA,NA
5/23/2022 19:00,1.585,22.71,22.47,22.94,22.96,22.35,23.9,4.9,2.4,NA,NA,2.5,NA,NA,NA
5/23/2022 20:00,0.01,22.34,22.45,22.58,22.765,22.385,23.9,5.47,2.35,NA,NA,3.12,NA,NA,NA
5/23/2022 21:00,0.019,21.96,22.395,22.22,22.53,22.395,23.8,5.00035,2.27,NA,NA,2.73035,NA,NA,NA
5/23/2022 22:00,0.0185,21.775,22.33,22.03,22.33,22.385,23.8,4.74,2.22,NA,NA,2.52,NA,NA,NA
5/23/2022 23:00,0.011,21.595,22.255,21.85,22.18,22.365,23.85,5.84,2.16,NA,NA,3.68,NA,NA,NA
5/24/2022,0.019,21.375,22.175,21.63,22.02,22.335,23.9,4.54,2.18,NA,NA,2.36,NA,NA,NA
5/24/2022 1:00,0.025,21.28,22.1,21.545,21.885,22.3,23.8,4.79,2.12,NA,NA,2.67,NA,NA,NA
5/24/2022 2:00,0.018,21.25,22.025,21.495,21.805,22.255,23.7,4.34,2.07,NA,NA,2.27,NA,NA,NA
